"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","UNC Asheville",67.6559,204,67.0574,211,102.415,172,101.594,213,101.913,189,105.737,226,-4.14255,221
"2022","UNC Greensboro",63.0667,351,62.6952,350,100.964,198,100.684,228,101.794,183,101.024,129,-0.340011,174
"2022","UNC Wilmington",66.7773,257,66.5389,242,103.478,150,103.589,177,102.424,201,105.054,211,-1.46545,188
"2022","UNLV",66.615,265,66.7685,227,104.196,134,109,78,99.812,126,99.4779,102,9.52221,85
"2022","USC",67.5526,209,66.7267,232,107.356,60,111.673,37,96.787,58,96.8988,57,14.7743,40
"2022","USC Upstate",69.2919,102,68.8335,106,100.027,219,101.373,217,107.515,293,110.821,311,-9.44783,279
"2022","UT Arlington",65.9911,285,65.6121,287,94.4334,318,98.6774,268,101.121,158,102.531,155,-3.85404,220
"2022","UT Rio Grande Valley",72.8353,16,72.2001,15,96.8813,281,100.113,243,109.532,321,112.161,329,-12.0485,304
"2022","Utah",67.3332,226,66.9591,218,102.838,162,107.617,95,103.601,228,103.174,169,4.44334,117
"2022","Utah St.",67.4042,222,67.1716,207,106.814,74,111.088,50,98.0974,83,97.6541,67,13.4341,54
"2022","Utah Valley",67.6944,198,66.5123,243,100.571,206,102.918,188,95.4909,39,98.2215,73,4.6966,114
"2022","UTEP",67.4461,218,66.9973,216,100.19,212,101.181,222,99.7683,125,101.411,133,-0.229976,172
"2022","UTSA",69.0006,122,69.1595,95,93.49,331,95.1655,323,106.96,279,108.006,268,-12.8402,311
"2022","Valparaiso",65.4623,314,65.6466,284,101.547,186,103.384,179,105.247,259,105.677,223,-2.29268,199
"2022","Vanderbilt",68.7658,137,68.0872,146,100.529,207,106.649,112,97.7681,75,96.0308,46,10.618,77
"2022","VCU",68.4005,159,69.0322,98,96.094,296,99.9596,246,88.9188,5,87.5773,4,12.3823,63
"2022","Vermont",65.3705,320,65.8359,274,112.517,17,110.261,62,94.6815,32,99.0091,88,11.2522,72
"2022","Villanova",64.5248,338,63.5075,344,114.083,11,119.355,6,97.9533,81,94.9963,33,24.3586,10
"2022","Virginia",60.09,358,59.7398,358,105.858,97,109.64,69,100.699,150,98.5772,80,11.0629,73
"2022","Virginia Tech",63.2875,348,63.2959,345,110.108,33,112.97,28,97.1494,71,96.7866,54,16.1834,29
"2022","VMI",68.8845,129,69.0196,99,110.273,32,111.236,45,110.2,330,110.528,303,0.707837,163
"2022","Wagner",68.1197,176,67.3561,197,107.341,62,104.108,160,93.6115,26,100.774,124,3.3338,127
"2022","Wake Forest",70.994,53,70.5214,47,110.901,26,112.616,30,97.7716,76,96.7817,53,15.8346,31
"2022","Washington",70.7576,56,70.2241,57,98.7991,247,104.097,161,101.688,176,99.5849,105,4.51223,116
"2022","Washington St.",67.378,224,66.4911,246,106.566,77,108.853,81,96.1543,51,95.5321,41,13.321,55
"2022","Weber St.",71.0299,52,70.3981,50,106.288,85,103.982,165,101.307,164,104.768,204,-0.786833,178
"2022","West Virginia",68.4149,157,68.5173,119,100.099,216,108.552,84,100.016,135,97.2514,63,11.3008,68
"2022","Western Carolina",69.0232,121,68.7517,107,99.7163,227,99.4723,255,112.319,348,110.665,306,-11.193,298
"2022","Western Illinois",72.3795,23,71.2658,28,106.083,88,102.062,202,105.316,262,107.243,253,-5.18146,233
"2022","Western Kentucky",70.4043,72,69.3071,90,106.204,87,107.666,94,101.232,160,102.632,161,5.03354,112
"2022","Western Michigan",66.1625,278,64.5406,331,97.1912,274,97.5623,284,113.693,352,112.427,334,-14.8644,328
"2022","Wichita St.",67.9402,184,67.4261,194,99.558,230,104.562,151,95.9943,46,95.7251,45,8.83742,89
"2022","William & Mary",69.4726,92,69.2762,92,89.4507,352,90.2591,353,107.171,284,108.165,275,-17.9057,341
"2022","Winthrop",68.9639,125,68.9816,103,106.066,89,106.97,108,101.809,185,105.282,216,1.6882,146
"2022","Wisconsin",67.1767,236,67.301,201,105.407,109,111.39,42,98.3525,89,94.4862,29,16.9043,26
"2022","Wofford",64.9134,330,64.7751,322,108.573,48,107.2,104,101.716,178,101.013,128,6.18749,107
"2022","Wright St.",69.2875,104,69.0552,97,108.696,45,106.251,119,103.41,221,107.809,266,-1.55753,189
"2022","Wyoming",66.0423,282,66.3792,253,108.567,49,111.485,40,98.3038,88,98.4651,78,13.0203,56
"2022","Xavier",69.1426,114,68.5682,114,105.265,114,111.229,47,98.3746,91,97.6402,66,13.589,51
"2022","Yale",70.689,59,69.5839,75,101.611,185,102.171,198,98.691,97,100.402,120,1.76887,144
"2022","Youngstown St.",66.8052,255,66.8202,224,106.845,72,103.289,181,105.208,256,111.124,319,-7.83532,261
